status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,date
165297924363_10153515737999364,"There is much this Thanksgiving for which to be grateful, beginning with the thousands of great friends and supporters who joined us to make some history and change the world a bit over the past many months. Here's wishing all a wonderful holiday!",,status,,11/24/16 9:58,14526,462,187,13704,763,1,8,45,5,2016-11-24
165297924363_10153479680264364,"It is a rare privilege to play a part in shaping the future of a great nation. By offering Americans an honorable, principled choice in this election, and being joined by thousands of supporters and volunteers to make a credible third party ticket part of the national conversation, we took significant steps toward reshaping the political landscape. For that, I am both proud and grateful.This campaign was not about Bill Weld and me. It was not even about 2016. It was about a small government, greater freedom movement that I am confident will take hold and grow well beyond this election. It was about showing millennials, young people and all Americans that they do not have to blindly accept a two party duopoly. We have hopefully set the stage for that movement to flourish and have real success at the polls. This is a great nation filled with great people. Bill Weld and I are honored to have provided a voice for millions of those great people, and deeply grateful to all those who made this historic effort possible. Today is a day to wish the President-elect our best wishes, and a sincere hope that, together, we can get about the business of addressing the challenges this great nation faces.",,status,,11/9/16 11:57,70554,4122,9811,61937,6857,11,59,1468,222,2016-11-09
165297924363_10153478307454364,"We made history tonight. Millions of Americans chose to vote for peace, prosperity, and freedom. We stood up to the two-party duopoly and voted our conscience. We will all be able to look back on our votes with pride. Thank you!",Johnson/Weld Election Night Party,video,https://www.facebook.com/govgaryjohnson/videos/10153478307454364/,11/8/16 23:03,73053,11701,6942,58954,11341,94,242,1932,490,2016-11-08
165297924363_10153478004999364,There's still time to do what's right. Get out there and VOTE your conscience!,,video,https://www.facebook.com/govgaryjohnson/videos/10153478004999364/,11/8/16 19:41,15904,5297,1696,12379,3347,23,93,31,31,2016-11-08
165297924363_10153477802604364,You still have a chance to vote FOR someone.,Timeline Photos,photo,https://www.facebook.com/govgaryjohnson/photos/a.175035499363.104403.165297924363/10153477802604364/?type=3,11/8/16 17:40,26459,1187,4636,24310,2020,9,52,26,42,2016-11-08
165297924363_10153477539109364,"#15. [A vote for] Gary Johnson and Bill Weld can shake up the establishment, end the duopoly, and fundamentally improve our democracy. Thank you all. Let's make history today!",15 Reasons To Vote For Gary Johnson,link,https://www.johnsonweld.com/15_reasons_why_a_vote_for_gov_gary_johnson_matters,11/8/16 16:00,8523,489,1445,7938,543,9,19,5,9,2016-11-08
165297924363_10153475777444364,It's a great day to make history.,Timeline Photos,photo,https://www.facebook.com/govgaryjohnson/photos/a.175035499363.104403.165297924363/10153475777444364/?type=3,11/8/16 13:00,51018,1439,15445,46852,3586,30,398,120,32,2016-11-08
165297924363_10153477054164364,"Today is the day. It's the day we make history by standing up for what's right and  voting our conscience. Get out there and cast a vote you can be proud of!Thank you all for your hard work. #IVotedForGary",,video,https://www.facebook.com/govgaryjohnson/videos/10153477054164364/,11/8/16 11:08,29590,3886,3259,26205,3245,23,84,14,19,2016-11-08
165297924363_10153475073834364,"Today is the day. Let your friends know you didn't vote for the lesser of two evils. You voted for a better America and helped make history.Thank you and SHARE!",CLICK HERE: Add #JohnsonWeld to Your Facebook Profile,link,https://overlay.johnsonweld.com/Overlay/let-gary-debate/Widget,11/8/16 9:00,12519,721,2458,11677,768,9,56,4,5,2016-11-08
165297924363_10153476113594364,Proud to have received one of the eight votes cast in Dixville Notch!,Johnson wins a vote in Dixville Notch,link,http://www.politico.com/story/2016/11/clinton-wins-dixville-notch-230922,11/8/16 6:00,26132,704,1289,24480,1220,36,385,7,4,2016-11-08
165297924363_10153475981354364,Thank you Melissa Joan Hart!,Get Out And Vote!,video,https://www.facebook.com/govgaryjohnson/videos/10153475981354364/,11/7/16 23:58,17064,309,2664,15705,1295,39,16,4,5,2016-11-07
165297924363_10153475757404364,"Just imagine an America where the Democrats and Republicans couldn't divide the country between two unpopular options. With 5% in the national polls we can end the two-party duopoly tomorrow.Polls show that we are right on the verge of this critical threshold so we have to get out every single vote tomorrow! Show up, bring a friend, and let's make history!",LIVE From San Diego,video,https://www.facebook.com/govgaryjohnson/videos/10153475757404364/,11/7/16 21:14,17559,4986,5287,15411,1922,47,124,13,42,2016-11-07
